Species,conservative,liberal,mono.poly,Social,PCO1,PCO2,PCO3,ActivityCycle,AdultBodyMass.g,DietBreadth,HabitatBreadth,HomeRange.Indiv.km2,InterbirthInterval.d,LitterSize,MaxLongevity.m,PopulationDensity.n.km2,SexualMaturityAge.d,WeaningAge.d,GR.Area.km2,GR.MidRangeLat.dd,GR.MidRangeLong.dd,HuPopDen.Mean.n.km2,Precip.Mean.mm,Temp.Mean.01degC
Acinonyx jubatus,Negative,Negative,1,0,45.04,5.07,67.16,3,50577.92,1,1,94.38,547.5,3.28,228,0.01,741.97,91.42,10586306.53,4.24,22.95,19.88,51.26,230.83
Ailuropoda melanoleuca,Negative,Negative,1,0,-32.79,-1.30,0.05,2,117999.99,3,1,3.76,638.75,1.62,360,0.18,2413.02,178.98,36206.89,30.76,104.78,103.55,101.81,65.51
Ailurus fulgens,Negative,Negative,1,0,-46.13,-12.38,-0.15,2,5170.08,3,1,1.52,365,1.7,168,NA,604.05,136.87,1075406.59,28.38,94.38,51.8,131.93,44.73
Aonyx capensis,Negative,Negative,0,0,-56.50,-20.96,-0.31,2,19322.22,6,2,119.27,NA,2.62,132,0.35,371.23,NA,14162350.57,-8.89,12.27,39.28,100.07,233.07
Aonyx cinerea,Negative,Negative,0,1,-56.50,-20.96,-0.31,1,3527.59,2,2,NA,182.5,1.47,121,NA,NA,79.54,3673360.97,11.3,98.3,216.27,173.12,226.57
Arctictis binturong,Negative,Negative,0,0,59.14,-16.57,-24.53,1,12999.99,3,1,NA,317.6,2.5,272.4,NA,1034.61,117.57,2913838.88,9.84,104.16,124.73,194.92,229.94
Arctocephalus australis,Negative,Negative,1,1,-42.10,-5.27,0.03,1,67979.43,6,2,NA,365,1,252,NA,1729.33,365,NA,NA,NA,NA,NA,NA
Arctocephalus forsteri,Negative,Negative,1,1,-42.10,-5.27,0.03,1,101249.99,6,2,NA,365,1,180,NA,2668.42,323.72,NA,NA,NA,NA,NA,NA
Arctocephalus galapagoensis,Negative,Negative,1,1,-42.10,-5.27,0.03,1,39448.04,6,2,NA,730,1,264,NA,1683.65,821.25,NA,NA,NA,NA,NA,NA
Arctocephalus gazella,Negative,Negative,1,1,-42.10,-5.27,0.03,1,96599.99,1,2,NA,365,1,276,22,1691.66,116.28,NA,NA,NA,NA,NA,NA
Arctocephalus philippii,Negative,Negative,1,1,-42.10,-5.27,0.03,NA,94999.99,6,2,NA,365,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arctocephalus pusillus,Negative,Negative,1,1,-42.09,-5.27,0.03,1,178500,1,2,NA,365,1,252,NA,1698.17,356.3,NA,NA,NA,NA,NA,NA
Arctocephalus townsendi,Negative,Negative,1,1,-42.10,-5.27,0.03,NA,101063.71,1,2,NA,365,1,288,NA,NA,328.13,NA,NA,NA,NA,NA,NA
Arctocephalus tropicalis,Negative,Negative,1,1,-42.10,-5.27,0.03,NA,92222.55,6,2,NA,365,1.4,276,NA,1538.68,304.16,NA,NA,NA,NA,NA,NA
Arctogalidia trivirgata,Negative,Negative,NA,0,58.95,-16.45,-24.31,1,2323.79,6,1,NA,182.5,2.79,190,NA,841.82,49.41,2766097.4,10.9,105.38,97.79,199.26,232.1
Arctonyx collaris,Negative,Negative,NA,0,-55.41,-20.04,-0.29,1,8166.52,6,1,NA,NA,3,167,NA,NA,165.64,4519063.86,16.92,107.06,250.46,124.48,169.67
Atelocynus microtis,Negative,Negative,NA,0,-6.83,85.22,-17.36,NA,8363.22,1,1,NA,NA,NA,132,NA,NA,NA,7634256.6,-13.76,-61.08,7.43,163.06,235.49
Atilax paludinosus,Negative,Positive,NA,NA,62.12,-18.71,-28.77,2,3600.16,6,2,1.62,182.5,2,209,NA,234.83,35.89,14296320.45,-8.88,12.52,37.15,99.93,233.39
Bassaricyon alleni,Negative,Negative,NA,NA,-50.04,-15.39,-0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467192.71,-7.01,-71.69,2.2,208.81,258.1
Bassaricyon beddardi,Negative,Negative,NA,NA,-50.04,-15.39,-0.20,1,1235.01,NA,1,NA,NA,NA,NA,NA,NA,NA,441326.32,2.85,-64.01,0.69,186.26,239.89
Bassaricyon gabbii,Negative,Negative,1,0,-50.04,-15.39,-0.20,1,1250,6,2,NA,NA,1,300,6.02,607.2,89.49,803202.18,5.08,-77.78,46.86,176.37,230.94
Bassaricyon lasius,Negative,Negative,NA,NA,-50.04,-15.39,-0.20,1,1200,NA,1,NA,NA,NA,NA,NA,NA,NA,3842.65,10.06,-83.83,196.05,238.21,218.22
Bassaricyon pauli,Negative,Negative,NA,NA,-50.04,-15.39,-0.20,1,1200,NA,1,NA,NA,NA,NA,NA,NA,NA,1402.79,8.86,-82.87,29.67,233,295.37
Bassariscus astutus,Negative,Negative,NA,0,-50.08,-15.41,-0.20,1,1010.37,6,1,0.78,365,3,198,3.58,278.08,53.84,3916072.44,29.65,-107.94,37.3,45.32,153.99
Bassariscus sumichrasti,Negative,Negative,NA,0,-50.08,-15.41,-0.20,1,906,6,1,NA,NA,2,276,17.89,841.82,119.32,625977.74,15.06,-91.5,60.47,134.37,230.31
Bdeogale crassicauda,Negative,Negative,NA,0,62.20,-18.77,-28.88,1,1722.13,1,1,NA,NA,0.96,NA,NA,NA,NA,1654322.83,-11.01,33.53,38.56,82.89,229.26
Bdeogale jacksoni,Negative,Negative,NA,0,62.20,-18.77,-28.88,NA,2500,2,1,NA,NA,NA,NA,NA,NA,NA,81428.64,0.25,36.16,188.08,80.08,196.41
Bdeogale nigripes,Negative,Negative,NA,0,62.20,-18.77,-28.88,1,2623.01,6,1,NA,NA,1,190,NA,NA,NA,3117248.8,0.73,19.61,21.16,145.53,242.16
Callorhinus ursinus,Negative,Negative,1,1,-42.02,-5.25,0.03,2,55464.82,6,2,NA,365,1.04,420,18,1683.65,108.69,NA,NA,NA,NA,NA,NA
Canis adustus,Positive,Positive,0,1,-6.82,85.01,-17.31,1,10392.49,6,1,1.01,NA,4.5,137,0.74,249.88,52.89,10581413.14,-6,13,35.2,90.75,236.51
Canis aureus,Positive,Positive,0,1,-6.82,85.13,-17.34,2,9658.7,6,1,3.13,365,3.74,192,0.22,371.23,61.3,25739527.43,21.14,45.74,79.29,44.61,217.23
Canis latrans,Positive,Positive,0,1,-6.82,85.13,-17.34,2,11989.1,1,1,19.91,365,5.72,262,0.25,372.9,43.71,17099094.3,39.7,-117.6,27.27,53.03,58.18
Canis lupus,Positive,Positive,0,1,-6.82,85.13,-17.34,2,31756.51,1,1,43.13,365,4.98,354,0.01,679.37,44.82,50803439.7,47.38,3.9,37.87,34.79,4.82
Canis mesomelas,Positive,Positive,0,1,-6.82,85.01,-17.31,2,8247.3,6,1,12.82,273.75,3.89,168,0.74,241.4,34.1,6248779.95,-9.18,31.56,30.81,49.27,213.33
Canis simensis,Negative,Negative,0,1,-6.82,85.12,-17.34,3,14361.86,1,1,5.02,365,NA,NA,1.2,754.74,69.6,11402.81,9.93,38.99,99.87,83.87,99.03
Caracal caracal,Negative,Negative,1,0,44.74,5.00,65.92,1,11964.38,1,1,275.76,365,2.3,204,NA,437.27,120.41,26609096.78,5.5,31.75,39.44,40.03,221.57
Catopuma badia,Negative,Negative,NA,0,44.91,5.04,66.65,NA,3429.52,NA,1,NA,NA,NA,NA,NA,NA,NA,261512.24,2.84,115.07,12.38,278.55,227.89
Catopuma temminckii,Negative,Negative,NA,0,44.91,5.04,66.65,NA,7726.46,1,1,NA,NA,1.5,216,NA,NA,NA,3437288.13,11.88,104.15,147.92,156.56,197.24
Cerdocyon thous,Positive,Positive,0,1,-6.83,85.21,-17.36,1,5741.66,7,1,1.49,243.33,3.09,138,3.54,279.15,72.33,7091683.41,-11.22,-55.68,35.64,118.7,229.96
Chrotogale owstoni,Negative,Negative,NA,0,59.14,-16.57,-24.52,2,3267.71,6,1,NA,NA,NA,NA,NA,NA,NA,27879.9,22.03,105.03,297.26,136.85,183.06
Chrysocyon brachyurus,Negative,Negative,0,0,-6.82,84.98,-17.30,2,23325,6,1,22.62,NA,2,180,NA,420.91,119,5038801.01,-17.32,-52.48,23.01,110.24,223.49
Civettictis civetta,Negative,Negative,NA,0,58.97,-16.46,-24.32,1,12075.58,6,1,NA,212.14,2.31,336,NA,286.24,82.91,14207678.6,-6.02,13.26,36.77,101.3,237.14
Conepatus chinga,Negative,Negative,1,0,-47.10,-12.87,-0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3247304.52,-24.6,-66.13,25.6,65.02,133.91
Conepatus humboldtii,Negative,Negative,NA,0,-47.10,-12.87,-0.16,1,1097.61,1,2,0.11,NA,3.49,NA,NA,NA,NA,709172.73,-45.97,-68.78,3.02,30.56,80.76
Conepatus leuconotus,Negative,Negative,1,0,-47.10,-12.87,-0.16,1,3293.91,1,1,NA,182.5,3.6,84,NA,340.6,45.56,2509559.21,26,-99.88,43.68,56.58,180.72
Conepatus semistriatus,Negative,Negative,1,0,-47.10,-12.87,-0.16,1,1997.34,6,2,0.25,NA,3.49,NA,9.52,NA,NA,2032658.27,4.29,-66.03,65.25,130.15,243.25
Crocuta crocuta,Negative,Positive,1,1,58.63,-16.33,-24.16,1,63369.98,1,1,53.84,441.04,1.91,493.2,0.12,789.54,371.37,14790149.69,-5.14,16.93,33.56,78.32,238.46
