Species,conservative,liberal,PCO1,PCO2,PCO3,PCO4,DietBreadth,AdultBodyMass_g,AdultForearmLen_mm,HabitatBreadth,LitterSize,GR_Area_km2,GR_MidRangeLat_dd,HuPopDen_Mean_n/km2,Precip_Mean_mm,Temp_Mean_01degC
Ametrida centurio,Negative,Negative,-0.906770098,-0.575179788,-0.044908528,-0.135353493,1,10.61,29,1,0.98,4577247.97,-2.18,9.86,159.06,250.29
Amorphochilus schnablii,Negative,Negative,NA,NA,NA,NA,1,NA,35.99,1,0.99,437429.66,-11.15,60.47,34.8,102.52
Anoura caudifer,Negative,Negative,-0.770853857,-0.433856868,-0.024877528,-0.030567107,3,10.81,36.25,1,0.99,8755498.43,-8.12,27.24,150.88,230.85
Anoura cultrata,Negative,Negative,NA,NA,NA,NA,3,17.39,42.8,1,1.22,1873138.72,-1.7,41.77,164.27,232.11
Anoura geoffroyi,Negative,Negative,-0.756968095,-0.421694233,-0.026048036,-0.02919651,3,15.15,42.66,1,0.99,8631465.89,0.25,44.96,128.98,221.14
Anoura latidens,Negative,Negative,NA,NA,NA,NA,3,15.06,43,1,NA,450082.95,9.59,60.54,102.16,254.58
Anoura luismanueli,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,24076.62,8.85,64.11,115.45,221.72
Antrozous pallidus,Positive,Positive,0.839824412,-0.26155837,-0.02223559,-0.087371585,2,22.24,54.53,1,1.78,4228781.56,34.54,29.96,36.48,136.23
Ardops nichollsi,Negative,Negative,-0.8834507,-0.55362041,-0.045266804,-0.128409444,1,19.23,48.56,1,0.99,4493.21,15.32,215.47,NA,NA
Ariteus flavescens,Negative,Negative,-0.867462828,-0.538894111,-0.045587344,-0.123856111,NA,NA,40.5,1,NA,8821.83,18.22,333.48,104.75,240
Artibeus amplus,Negative,Negative,-0.928908332,-0.598636276,-0.048533391,-0.154087573,1,61.04,70.5,1,NA,704691.93,5.27,6.72,160.88,241.38
Artibeus anderseni,Negative,Negative,-0.897523445,-0.568802721,-0.047960342,-0.141450806,1,NA,35.49,1,0.98,3362837.2,-9,4.26,178.8,240.02
Artibeus aztecus,Negative,Negative,-0.894913539,-0.566333462,-0.047925555,-0.140446533,1,20.81,44.36,1,0.99,572771.69,16.41,88.99,99.95,204.17
Artibeus cinereus,Negative,Negative,-0.901268131,-0.572282837,-0.04792672,-0.142643296,1,12.7,38.99,1,0.99,1835095.13,5.42,19.68,150.84,250.38
Artibeus concolor,Negative,Negative,-0.899375355,-0.570691949,-0.048152008,-0.142703454,1,19.65,47.34,1,NA,6473389.12,-1.5,12.37,168.66,251.8
Artibeus fimbriatus,Negative,Negative,-0.911437591,-0.582192681,-0.048423808,-0.147702822,1,63.89,NA,1,NA,1195211.14,-23.48,75.59,125.63,208.92
Artibeus fraterculus,Negative,Negative,-0.910220584,-0.581013611,-0.048373055,-0.147124968,1,NA,56,1,0.98,336498.73,-6.32,81.95,67.93,165.07
Artibeus glaucus,Negative,Negative,-0.92356686,-0.593022868,-0.047746529,-0.149808035,1,12.31,NA,1,NA,10710294.79,-7.53,21.52,153.88,239.21
Artibeus gnomus,Negative,Negative,-0.926911087,-0.596142181,-0.047731816,-0.150918152,NA,10.06,NA,NA,NA,8185856.09,-1.41,18.14,163.49,243.19
Artibeus hirsutus,Negative,Negative,-0.913213008,-0.583802053,-0.048355712,-0.148107441,1,40.42,55.88,1,0.98,299330.97,22.67,82.64,68.43,203.79
Artibeus incomitatus,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.43,9.09,7,NA,NA
Artibeus inopinatus,Negative,Negative,-0.911243182,-0.581965045,-0.048365076,-0.147454766,1,NA,50.49,1,NA,48689.76,12.64,139.08,134.62,230.02
Artibeus jamaicensis,Negative,Positive,-0.935696346,-0.604983443,-0.04852191,-0.156402542,4,43.63,60.34,1,1,14327574.52,0.29,33.02,147.19,237.53
Artibeus lituratus,Negative,Positive,-0.933430211,-0.602855764,-0.04851481,-0.155595478,1,59.3,70.33,1,1,14275189.62,-3.73,27.78,148.64,235.91
Artibeus obscurus,Negative,Positive,-0.945050253,-0.613701936,-0.048470719,-0.159482554,1,35.91,NA,1,0.98,11220757.02,-8.85,19.72,154.26,240.14
Artibeus phaeotis,Negative,Negative,-0.880723291,-0.553171673,-0.048086179,-0.136028803,3,11.69,38.55,1,0.99,1156701.32,10.89,51.66,162.28,228.79
Artibeus toltecus,Negative,Negative,-0.905113483,-0.575833591,-0.047860303,-0.143775673,1,15.47,39.5,1,0.99,1039041.68,13.89,67.8,138.84,215.72
Artibeus watsoni,Negative,Negative,-0.885012784,-0.557135667,-0.048018845,-0.137307085,NA,11.2,NA,NA,1,415964.09,13.16,36.81,185.4,242.27
Balantiopteryx infusca,Negative,Negative,0.030366068,0.179423665,0.106211602,0.740278337,NA,NA,38.99,1,NA,68801.56,-0.64,83.28,121.57,242.2
Balantiopteryx io,Negative,Negative,0.029508446,0.179015259,0.104448231,0.733447223,NA,3.97,37,1,1,211758.21,16.9,40.29,144.32,239.45
Balantiopteryx plicata,Negative,Negative,0.025141085,0.1768788,0.095397881,0.697853384,1,6.57,42.23,1,0.99,841946.43,18.24,88.19,106.96,216.78
Bauerus dubiaquercus,Negative,Negative,NA,NA,NA,NA,1,22.22,53.29,1,1.71,295020.71,16.34,31.58,171.52,241.32
Brachyphylla cavernarum,Negative,Negative,-0.713239843,-0.383550773,-0.029852481,,3,45.5,66.21,1,1,14649.83,15.78,334.38,104.75,240
Brachyphylla nana,Negative,Negative,-0.704506724,-0.375902192,-0.030583919,-0.082262818,NA,37.25,58.26,1,0.98,184267.85,20.39,145.17,103.98,246.61
Carollia brevicauda,Negative,Negative,-0.751988408,-0.422682786,-0.034012214,-0.024216465,1,14.85,40.26,1,0.98,11615943.22,0.09,25.68,155.22,240.49
Carollia castanea,Negative,Negative,-0.782220554,-0.44955072,-0.032023187,-0.025477092,1,13.1,36.2,1,0.99,4881458.89,-1.34,24.23,171.15,236.15
Carollia colombiana,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,393.22,6.4,87.52,117.99,172
Carollia perspicillata,Positive,Positive,NA,NA,NA,NA,3,19.23,42.45,1,1,14098730.57,-4.14,26.25,149.5,236.85
Carollia subrufa,Negative,Negative,-0.730960125,-0.404000104,-0.035393776,-0.051795332,1,15.84,39.41,1,0.98,330694.77,11.34,70.67,143.06,232.26
Centronycteris centralis,Negative,Negative,0.024606006,0.175005657,0.092161028,-0.056478335,NA,NA,NA,NA,NA,1484754.75,7.04,41.97,191.99,240.33
Centronycteris maximiliani,Negative,Negative,0.021935515,0.173814697,0.086784149,-0.050615425,1,23,45.5,1,0.98,5567605.79,-4.35,20.14,152.17,249.26
Centurio senex,Negative,Negative,-0.897698951,-0.56681687,-0.04508082,-0.048544799,1,23.09,44,1,0.99,2107462.67,15.65,58.61,126.65,232.97
Chilonatalus micropus,Negative,Negative,0.270065811,0.021256949,0.015315738,0.659648656,1,NA,33.5,1,NA,192773.97,18.25,156.27,106.88,246.31
Chilonatalus tumidifrons,Negative,Negative,0.28355049,0.016891553,0.020078182,0.656625614,1,3.62,32.99,1,NA,1525.32,25.17,8.63,NA,NA
Chiroderma doriae,Negative,Negative,-0.823962,-0.498360374,-0.045892967,0.640058749,1,19.9,52.5,1,1,499911.44,-21.51,142.11,125.32,200.37
Chiroderma improvisum,Negative,Negative,-0.821124358,-0.495750665,-0.045953374,0.19319898,1,35.39,57.5,1,NA,1580.07,16.38,221.77,NA,NA
Chiroderma salvini,Negative,Negative,-0.870767228,-0.541376949,-0.044843455,0.201595331,1,26.3,47.5,1,0.99,3181262.57,3.98,48.18,137.6,208.68
Chiroderma trinitatum,Negative,Negative,-0.809505713,-0.485076772,-0.046220331,-0.109641195,1,13.91,36.38,1,0.98,9415792.03,-4.91,11.91,164.23,244.15
Chiroderma villosum,Negative,Negative,-0.823345848,-0.497791962,-0.045903086,-0.108847665,1,23.81,45.51,1,0.99,10366490.11,-1.11,16.68,159.13,239.17
Choeroniscus godmani,Negative,Negative,NA,NA,NA,NA,3,7.9,34,1,0.98,2763301.06,12.98,42.76,148.03,238.66
Choeroniscus minor,Negative,Negative,NA,NA,NA,NA,2,8.63,35.49,1,0.98,6447650.32,-3.7,9.15,173.43,241.56
Choeroniscus periosus,Negative,Negative,NA,NA,NA,NA,NA,NA,41,1,NA,250151.45,2.61,53.09,213.36,216.97
Choeronycteris mexicana,Negative,Negative,NA,NA,NA,NA,3,17.26,44.49,1,0.99,1786274.52,23.24,53.53,52.95,189.59
Chrotopterus auritus,Negative,Negative,-0.828853901,-0.485691375,-0.021106213,-0.105645514,3,78.26,82.56,1,0.99,9155053.99,-4.93,26.42,145.4,233.69
Cormura brevirostris,Negative,Negative,0.024969726,0.176894871,0.095068158,-0.037640998,1,9.26,46.5,1,NA,6457181.09,0.76,15.82,179.4,249.38
Corynorhinus mexicanus,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,559891.05,24.6,79.25,62.53,183.65
Corynorhinus rafinesquii,Negative,Negative,NA,NA,NA,NA,1,9.15,43,1,1,1333256.65,32.8,52.7,102.28,172.06
Corynorhinus townsendii,Positive,Positive,NA,NA,NA,NA,1,10.3,43.4,1,0.99,4604871.5,34.97,29.42,39.48,110.48
Cynomops abrasus,Negative,Negative,NA,NA,NA,NA,1,35.39,43.5,1,0.98,10368632.82,-10.15,10.2,151.62,243.36
Cynomops greenhalli,Negative,Negative,NA,NA,NA,NA,1,15.87,35.49,1,0.99,1848057.21,1.02,52.15,148.42,248.11
Cynomops mexicanus,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,552617.08,13.62,60.5,159.18,223.7
Cynomops paranus,Negative,Negative,0.013943776,0.171564358,0.07055946,-0.234294998,NA,12.16,NA,NA,NA,11408256.94,-8.43,15.9,149.25,243.33
Cynomops planirostris,Negative,Negative,NA,NA,NA,NA,1,12.84,31.5,1,1,11408256.94,-8.43,15.9,149.25,243.33
Cyttarops alecto,Negative,Negative,0.022891768,0.176370872,0.091399205,-0.08344592,NA,5.3,47,1,NA,581976.9,3.66,4.07,157.02,251.18
Desmodus rotundus,Positive,Positive,-0.63502564,-0.28198885,0.018684941,-0.139410744,1,33.16,58.29,1,1,17803912.83,-3.4,28.84,130.09,216.33
Diaemus youngi,Negative,Negative,-0.651932801,-0.295405522,0.022499744,-0.125182487,1,36.71,50.78,1,NA,13545719.31,-3.19,25.3,150.09,237.93
Diclidurus albus,Negative,Negative,0.026944995,0.178988795,0.100581169,-0.123475883,1,16.56,66,1,1,7898368.07,2.48,27.6,157.72,245.62
Diclidurus ingens,Negative,Negative,0.027246343,0.179139443,0.101208459,0.103486168,NA,12.3,71.5,1,NA,2138238,1.42,1.77,196.17,252.94
Diclidurus isabellus,Negative,Negative,0.031571228,0.181295848,0.110208692,0.107091605,NA,12.61,54,1,NA,710901.14,-0.57,1.71,181.99,253.5
Diclidurus scutatus,Negative,Negative,0.027014322,0.178978108,0.100669235,0.729921776,NA,13.62,54.5,1,NA,2914021.53,0.56,2.92,187.24,254
Diphylla ecaudata,Negative,Negative,-0.623895696,-0.273175717,0.016269683,0.732419681,1,28.11,54.99,1,0.99,8019521.93,2.82,33.37,141.74,237.62
Ectophylla alba,Negative,Negative,-0.936687505,-0.602359951,-0.043719934,-0.090727922,1,5.55,28.65,1,0.99,138091.24,12.47,26.81,232.56,239.5
Enchisthenes hartii,Negative,Negative,NA,NA,NA,NA,1,16.99,39.82,1,0.99,3507398.71,3.15,45.36,140.17,219.71
Eptesicus andinus,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,6239397.29,-0.85,17.56,173.35,244.29
Eptesicus brasiliensis,Positive,Positive,NA,NA,NA,NA,1,9.2,43,1,1.46,13985175.36,-8.02,25.1,147.5,234.56
